H    1   0.6199997696180204     1.00794
He   2   0.5599996832876911     4.002602
Li   3   2.559999193579187      6.941
Be   4   1.920005007494632      9.012182
B    5   1.7000024460259946     10.811
C    6   1.5200044319591037     12.0107
N    7   1.4200042880752215     14.0067
O    8   1.3200041441913397     15.9994
F    9   1.1399949055039653     18.9984032
Ne   10  1.1599971792048382     20.1797
Na   11  3.3199957972484975     22.989770
Mg   12  2.819995077829087      24.3050
Al   13  2.4199945022935587     26.981538
Si   14  2.220005439146278      28.0855
P    15  2.139996344342786      30.973761
S    16  2.100003021561523      32.065
Cl   17  2.039996200458904      35.453
Ar   18  2.1200052952623962     39.948
K    19  4.060001351837418      39.0983
Ca   20  3.519996085016261      40.078
Sc   21  3.400004892051989      44.955910
Ti   22  3.2000046042842256     47.867
V    23  3.0599999129985975     50.9415
Cr   24  2.780001755047824      51.9961
Mn   25  2.780001755047824      54.938049
Fe   26  2.639997063762196      55.845
Co   27  2.519994646177441      58.933200
Ni   28  2.480001323396178      58.6934
Cu   29  2.639997063762196      63.546
Zn   30  2.4399967759944317     65.409
Ga   31  2.4399967759944317     69.723
Ge   32  2.400003453213169      72.64
As   33  2.380001179512296      74.92160
Se   34  2.400003453213169      78.96
Br   35  2.400003453213169      79.904
Kr   36  2.32000558303016       83.798
Rb   37  4.399995106270326      85.4678
Sr   38  3.9000056114713995     87.62
Y    39  3.8000054675875177     88.90585
Zr   40  3.5000050359358714     91.224
Nb   41  3.280002474467234      92.90638
Mo   42  3.0800021866994705     95.94
Tc   43  2.9399974954138424     98
Ru   44  2.9199952217129694     101.07
Rh   45  2.83999735152996       102.90550
Pd   46  2.780001755047824      106.42
Ag   47  2.9000041726325794     107.8682
Cd   48  2.880001898931706      112.411
In   49  2.83999735152996       114.818
Sn   50  2.780001755047824      118.710
Sb   51  2.780001755047824      121.760
Te   52  2.7599994813469513     127.60
I    53  2.780001755047824      126.90447
Xe   54  2.800004028748697      131.293
Cs   55  4.880004776609347      132.90545
Ba   56  4.299994962386445      137.327
La   57  4.1399992220204265     138.9055
Ce   58  4.08000362553829       140.116
Pr   59  4.060001351837418      140.90765
Nd   60  4.019996804435672      144.24
Pm   61  3.9800034816544088     145
Sm   62  3.960001207953536      150.36
Eu   63  3.960001207953536      151.964
Gd   64  3.9199966605517895     157.25
Tb   65  3.8800033377705265     158.92534
Dy   66  3.8399987903687807     162.500
Ho   67  3.8399987903687807     164.93032
Er   68  3.7800031938866443     167.259
Tm   69  3.8000054675875177     168.93421
Yb   70  3.7399986464848984     173.04
Lu   71  3.7399986464848984     174.967
Hf   72  3.5000050359358714     178.49
Ta   73  3.400004892051989      180.9479
W    74  3.239997927065488      183.84
Re   75  3.0199953655968512     186.207
Os   76  2.880001898931706      190.23
Ir   77  2.819995077829087      192.217
Pt   78  2.719994933945205      195.078
Au   79  2.719994933945205      196.96655
Hg   80  2.639997063762196      200.59
Tl   81  2.9000041726325794     204.3833
Pb   82  2.9199952217129694     207.2
Bi   83  2.9599997691147153     208.98038
Po   84  2.800004028748697      209
At   85  3.000004316516461      210
Rn   86  3.000004316516461      222
Fr   87  5.199996257341383      223
Ra   88  4.4199973799712        226
Ac   89  4.299994962386445      227
Th   90  4.119996948319554      232.0381
Pa   91  3.999994530734799      231.03588
U    92  3.9199966605517895     238.02891
Np   93  3.8000054675875177     237
Pu   94  3.7399986464848984     244
Am   95  3.6000051798197537     243
Cm   96  3.3800026183511163     247
Bk   97  3.3600003446502433     247
Cf   98  3.3600003446502433     251
Es   99  3.3000047481681074     252
Fm   100 3.3399980709493704     257
Md   101 3.4600004885341256     258
No   102 3.519996085016261      259
Lr   103 3.2199956533646152     262
Rf   104 3.139997783181606      261
Db   105 2.9800020428155882     262
Sg   106 2.859999625230833      266
Hs   107 2.819995077829087      264
Bh   108 2.680001611163942      277
Mt   109 2.5800014672800597     268
Ds   110 2.559999193579187      281
Rg   111 2.4199945022935587     272
Cn   112 2.4399967759944317     285
Uut  113 2.719994933945205      284
Fl   114 2.859999625230833      289
Uup  115 3.239997927065488      288
Lv   116 3.5000050359358714     293
Uus  117 3.3000047481681074     294
Uuo  118 3.139997783181606      294
